Player,Position,Points,BlockPoints,Aces,SpikePoints,Receive
Thibault Rossard,Wing spiker,77,5,15,57,39,13
Timo Tammemaa,Middle blocker,125,22,11,92,0
Tomas Rousseaux,Wing spiker,167,12,4,151,37,99
Tomasz Fornal,Wing spiker,522,59,41,422,48,39
Tomasz Gawron,Libero,0,0,0,0,0
Tomasz Kalembka,Middle blocker,30,7,7,16,0
Tomasz Piotrowski,Wing spiker,36,5,0,31,31,58
Torey DeFalco,Wing spiker,634,66,50,518,41,42
Trevor Clevenot,Wing spiker,416,38,36,342,44,79
Tsimafei Zhukouski,Setter,58,17,17,24,0
Twan Wiltenburg,Middle blocker,21,9,0,12,0
Tymur Tsmokalo,Wing spiker,0,0,0,0,0
Uros Kovacevic,Wing spiker,637,51,29,557,40,67
Vasyl Tupchii,Opposite hitter,522,36,37,449,0
Vitalii Kucher,Wing spiker,40,4,6,30,33,77
Vladyslav Shchurov,Middle blocker,186,71,3,112,0
Volodymyr Tevkun,Opposite hitter,26,3,0,23,0
Wassim Ben Tara,Opposite hitter,579,54,42,483,0
Wiktor Mielczarek,Wing spiker,41,4,4,33,0
Wiktor Musia³,Opposite hitter,72,1,9,62,0
Wiktor Nowak,Setter,28,6,13,9,0
Wiktor Rajsner,Middle blocker,0,0,0,0,0
Wojciech Ferens,Wing spiker,202,12,18,172,42,94
Wojciech Nowak,Wing spiker,0,0,0,0,0
Wojciech Siek,Middle blocker,102,25,6,71,0
Wojciech W³odarczyk,Wing spiker,400,51,22,327,43,35
Wojciech ¯aliñski,Wing spiker,206,36,11,159,35,6
Yurii Semeniuk,Middle blocker,73,21,4,48,0
Zouheir El Graoui,Wing spiker,165,14,17,134,0
